80, 80
1, 1, 21
46, 7, 889
60, 45, 891
39, 70, 898
18, 35, 889
53, 57, 898
26, 61, 889
48, 9, 897
2, 80, 999
45, 10, 898
17, 2, 893
78, 40, 894
68, 79, 890
54, 13, 890
64, 41, 897
4, 50, 888
68, 75, 897
2, 79, 999
28, 73, 891
3, 74, 892
42, 5, 890
11, 16, 896
2, 2, 999
13, 53, 896
73, 19, 898
56, 41, 888
71, 53, 888
3, 80, 999
35, 10, 896
69, 64, 891
71, 37, 891
11, 41, 889
17, 44, 892
62, 48, 898
4, 6, 894
12, 38, 898
5, 23, 895
3, 79, 999
12, 31, 893
33, 41, 891
25, 12, 894
42, 53, 897
3, 2, 999
66, 70, 889
37, 62, 891
32, 32, 893
68, 60, 894
67, 13, 888
4, 80, 999
36, 16, 897
25, 9, 894
74, 23, 888
33, 10, 892
4, 70, 890
74, 38, 891
17, 30, 890
4, 79, 999
46, 68, 895
72, 75, 888
61, 70, 896
34, 31, 888
10, 65, 898
4, 2, 999
53, 63, 896
54, 38, 895
51, 38, 895
5, 80, 999
3, 45, 896
31, 15, 894
74, 22, 888
16, 57, 892
18, 22, 897
22, 6, 897
5, 79, 999
56, 5, 889
35, 69, 888
62, 22, 893
43, 6, 892
34, 78, 889
5, 2, 999
59, 30, 888
30, 36, 896
30, 35, 889
45, 61, 890
33, 69, 892
60, 41, 898
40, 18, 898
51, 79, 891
19, 19, 890
35, 79, 897
6, 80, 999
14, 14, 892
70, 63, 893
61, 47, 890
73, 49, 896
42, 47, 892
36, 80, 897
6, 79, 999
77, 56, 890
73, 56, 888
39, 21, 888
69, 80, 897
68, 75, 888
6, 2, 999
56, 18, 889
26, 25, 897
18, 15, 897
80, 65, 894
70, 4, 891
64, 42, 892
31, 45, 894
34, 39, 897
7, 80, 999
66, 47, 890
38, 45, 890
22, 74, 892
7, 79, 999
19, 65, 895
79, 46, 893
67, 25, 892
7, 2, 999
61, 67, 897
48, 33, 897
10, 48, 891
10, 49, 895
57, 40, 893
8, 80, 999
17, 41, 888
57, 78, 888
55, 36, 897
58, 45, 891
16, 31, 898
51, 56, 896
31, 39, 894
56, 67, 889
40, 68, 888
2, 21, 897
8, 79, 999
61, 12, 891
20, 74, 898
51, 26, 891
45, 53, 890
10, 53, 896
8, 2, 999
6, 14, 888
10, 5, 889
23, 61, 898
13, 49, 894
15, 21, 891
29, 67, 896
38, 56, 896
56, 80, 891
71, 50, 895
73, 54, 893
9, 80, 999
4, 20, 893
15, 64, 894
12, 74, 888
68, 54, 898
49, 30, 889
22, 34, 896
44, 25, 895
65, 37, 890
59, 44, 891
10, 3, 897
9, 79, 999
14, 36, 890
37, 39, 894
51, 11, 892
62, 3, 897
4, 78, 893
58, 62, 888
53, 64, 898
75, 31, 890
5, 40, 894
56, 49, 894
9, 2, 999
74, 63, 893
24, 62, 890
52, 48, 889
10, 80, 999
34, 78, 892
21, 11, 888
41, 17, 890
41, 41, 898
10, 79, 999
72, 76, 892
79, 30, 893
24, 22, 893
37, 43, 892
74, 45, 897
45, 26, 892
38, 67, 891
62, 45, 898
53, 42, 892
10, 2, 999
49, 76, 896
75, 8, 898
65, 26, 893
34, 61, 892
65, 4, 898
59, 28, 896
28, 52, 897
78, 4, 895
46, 18, 897
11, 80, 999
7, 9, 897
69, 44, 888
75, 55, 895
11, 74, 894
52, 53, 894
45, 24, 898
35, 70, 893
21, 50, 898
33, 66, 891
11, 79, 999
61, 40, 895
77, 61, 889
19, 32, 898
42, 64, 893
50, 80, 891
29, 9, 898
11, 2, 999
57, 48, 892
23, 56, 893
46, 64, 897
56, 21, 893
12, 80, 999
33, 53, 890
40, 55, 894
67, 50, 892
25, 69, 890
64, 67, 895
36, 58, 889
12, 79, 999
51, 3, 890
74, 74, 888
20, 59, 889
80, 74, 888
24, 66, 888
74, 51, 889
36, 61, 891
34, 16, 893
46, 37, 896
63, 21, 895
12, 2, 999
70, 61, 891
13, 44, 896
30, 17, 890
54, 36, 896
35, 77, 890
69, 62, 896
55, 8, 893
38, 5, 892
13, 80, 999
35, 77, 898
43, 35, 894
22, 49, 889
21, 78, 888
4, 44, 898
31, 7, 896
13, 67, 896
13, 79, 999
40, 73, 890
15, 43, 889
4, 77, 898
7, 30, 891
28, 21, 890
48, 66, 891
47, 29, 897
13, 2, 999
60, 63, 888
70, 25, 896
7, 43, 890
69, 17, 890
74, 2, 888
14, 80, 999
21, 53, 890
32, 65, 896
69, 58, 890
51, 51, 897
24, 42, 893
36, 7, 889
36, 33, 891
47, 80, 895
14, 79, 999
34, 11, 893
43, 35, 898
10, 50, 896
76, 63, 891
77, 9, 893
49, 46, 892
75, 2, 894
40, 15, 895
29, 9, 888
55, 44, 894
14, 2, 999
65, 69, 896
10, 31, 888
73, 49, 891
60, 15, 893
7, 57, 894
27, 4, 897
7, 66, 890
66, 31, 888
56, 61, 898
20, 57, 892
15, 80, 999
6, 43, 890
80, 52, 889
14, 16, 893
15, 79, 999
55, 43, 893
65, 25, 898
75, 17, 888
